[2026-03-24 02:15:33] [CRITICAL] Type: SQL_INJECTION | IP: 185.220.101.34 [BANEADO POR 24h] | URI: /api/users?id=1' UNION SELECT * FROM users-- | Method: GET | UA: sqlmap/1.7.2#stable (https://sqlmap.org)
[2026-03-24 02:15:45] [CRITICAL] Type: SQL_INJECTION | IP: 185.220.101.34 [BANEADO POR 24h] | URI: /api/login?user=admin' OR '1'='1 | Method: POST | UA: sqlmap/1.7.2#stable (https://sqlmap.org)
[2026-03-24 02:16:01] [HIGH] Type: XSS_ATTACK | IP: 45.33.32.156 | URI: /search?q=<script>alert('XSS')</script> | Method: GET | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
[2026-03-24 02:16:15] [HIGH] Type: XSS_ATTACK | IP: 45.33.32.156 | URI: /comment?body=<img onerror=alert(document.cookie) src=x> | Method: POST | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
[2026-03-24 02:17:22] [WARNING] Type: DIRECTORY_TRAVERSAL | IP: 91.121.87.10 | URI: /files?path=../../../../etc/passwd | Method: GET | UA: python-requests/2.28.0
[2026-03-24 02:17:35] [WARNING] Type: DIRECTORY_TRAVERSAL | IP: 91.121.87.10 | URI: /download?file=../../../etc/shadow | Method: GET | UA: python-requests/2.28.0
[2026-03-24 02:18:00] [CRITICAL] Type: RECONNAISSANCE | IP: 58.218.92.37 | URI: /.env | Method: GET | UA: Go-http-client/1.1
[2026-03-24 02:18:05] [CRITICAL] Type: RECONNAISSANCE | IP: 58.218.92.37 | URI: /.git/config | Method: GET | UA: Go-http-client/1.1
[2026-03-24 02:18:10] [HIGH] Type: RECONNAISSANCE | IP: 58.218.92.37 | URI: /wp-admin/ | Method: GET | UA: Go-http-client/1.1
[2026-03-24 02:18:15] [HIGH] Type: RECONNAISSANCE | IP: 58.218.92.37 | URI: /phpmyadmin/ | Method: GET | UA: Go-http-client/1.1
[2026-03-24 02:18:20] [WARNING] Type: RECONNAISSANCE | IP: 58.218.92.37 | URI: /robots.txt | Method: GET | UA: Go-http-client/1.1
[2026-03-24 02:18:25] [WARNING] Type: RECONNAISSANCE | IP: 58.218.92.37 | URI: /sitemap.xml | Method: GET | UA: Go-http-client/1.1
[2026-03-24 02:19:00] [HIGH] Type: BOT_SCAN | IP: 71.6.135.131 | URI: /api/v1/users | Method: GET | UA: Nmap Scripting Engine; https://nmap.org/book/nse.html
[2026-03-24 02:19:05] [HIGH] Type: BOT_SCAN | IP: 71.6.135.131 | URI: /api/v1/admin | Method: GET | UA: Nmap Scripting Engine; https://nmap.org/book/nse.html
[2026-03-24 02:19:10] [HIGH] Type: BOT_SCAN | IP: 71.6.135.131 | URI: /api/v1/config | Method: GET | UA: Nmap Scripting Engine; https://nmap.org/book/nse.html
[2026-03-24 02:20:00] [CRITICAL] Type: BRUTE_FORCE | IP: 46.101.245.89 [BANEADO POR 1h] | URI: /login | Method: POST | UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
